Data Extraída,Valor Total,Objeto,Data de Celebração,Objetivo
15 de JUNHO de 2024,265000.0,Apresentação PE FÁBIO DE MELO nos festejos de CAMPO MAIOR/PI,2024-06-14,"APRESENTAÇÃO ARTÍSTICA DO PADRE FÁBIO DE MELO, COM DURAÇÃODE 01:30HS, A SER REALIZADA NO DIA 15 DE JUNHO DE 2024, EM PRAÇA PÚBLICA, NA CIDADE DE CAMPO MAIOR/PI, NA OPORTUNIDADE DOS FESTEJOS DE SANTO ANTÔNIO.  CONTRATO 139/2024"
28 de ABRIL de 2024,280000.0,"PROPOSTA DE PATROCÍNIO REFERENTE AO EVENTO ¿PEDAL DO TRABALHADOR¿, NOS DIAS 27 E 28 DE ABRIL  DE 2024, NO MUNICÍPIO DE ALTOS-PI.",2024-04-27,"PROPOSTA DE PATROCÍNIO REFERENTE AO EVENTO ¿PEDAL DO TRABALHADOR¿, NOS DIAS 27 E 28 DE ABRIL  DE 2024, NO MUNICÍPIO DE ALTOS-PI."
20 de Abril de 2024,280000.0,"Referente ao Patrocinio para realizar Eventos FIOS DE PROSPERIDADE: O POLO TÊXTIL DE PIRIPIRI, que será exibido na data de 20 de Abril de 2024, Em Tv aberta",2024-04-22,"Referente Patrocinio  para realização de Eventos  FIOS DE PROSPERIDADE: O POLO TÊXTIL DE PIRIPIRI, que será exibido na data de 20 de Abril de 2024, Em Tv aberta."
09 de MARÇO de 2024,290000.0,3ª FeMMEPi - Feira de Mulheres Microempreendedoras de Picos,2024-03-08,¿3º FeMMEPi - Feira de Mulheres Microempreendedora de Picos¿ LOCAL E CIDADE: PICOENSE CLUBE ¿ PICOS/PI DATA: 09 DE MARÇO DE 2024
29 de Julho de 2023,290000.0,"I FEIRA DA AGRICULTURA IRRIGADA, no municipio de BONFIM DO PIAUÍ, nos dias 28 e 29 de Julho de 2023",2023-07-27,"I FEIRA DA AGRICULTURA IRRIGADA, no município de BONFIM DO PIAUÍ, nos dias 28 e 29 de Julho de 2023."
13 de abril de 2024,290000.0,"Referente ao patrocínio relativo ao Projeto EMPREENDE PIAUI CERÂMICA DA CAPIVARA, que será exibido na data de 13 de abril de 2024, em TV ABERTA.",2024-04-19,"Referente ao patrocínio relativo ao Projeto EMPREENDE PIAUI CERÂMICA DA CAPIVARA, que será exibido na data de 13 de abril de 2024, em TV ABERTA."
31 de MARÇO de 2024,300000.0,"ANIVERSÁRIO DE SÃO GONÇALO DO PIAUÍ, NO MUNICÍPIO DE SÃO GONÇALO DO PIAUÍ(PI)",2024-03-25,"CONTRATAÇÃO DE ATRAÇÃO MUSICAL(BANDA) PARA APRESENTAÇÃO ARTÍSTICA NO EVENTO: ANIVERSÁRIO DE SÃO GONÇALO DO PIAUÍ, A SER REALIZADO NO DIA 31 DE MARÇO DE 2024, NO MUNICÍPIO DE SÃO GONÇALO DO PIAUÍ."
13 de FEVEREIRO de 2024,300000.0,"CARNAVAL DO MELA MELA DO XAROBÁ, NO PLANALTO ININGA EM TERESINA(PI)",2024-02-09,"CONTRATAÇÃO DE ARTRAÇÕES MUSICAIS(BANDA), PARA REALIZAÇÃO DO CARNAVAL DO MELA MELA DO XAROBÁ, A SER REALIZADO NO DIA 11 E 13 DE FEVEREIRO DE 2024, NO BAIRRO PLANALTO ININGA, NO MUNICÍPIO DE TERESINA(PI)."
13 de FEVEREIRO de 2024,300000.0,"CARNAVAL DO POVO DO BAIRRO POTI VELHO, NO MUNICÍPIO DE TERESINA(PI)",2024-02-09,"CONTRATAÇÃO DE ATRAÇÕES MUSICAIS(BANDA), PARA REALIZAÇÃO DO CARNAVAL DO BAIRRO POTY VELHO, A SER REALIZADO NOS DIAS 10, 12 E 13 DE FEVEREIRO DE 2024, NO MUNICÍPIO DE TERESINA(PI)."
15 de JUNHO de 2024,300000.0,"I COPA EVANGÉLICA DE FUTEBOL DE TERESINA¿¿, A SER REALIZADO NOS DIAS 01 DE ABRIL A 15 DE JUNHO DE 2024, NO MUNICIPIO DE TERESINA-PI",2024-06-04,"I COPA EVANGÉLICA DE FUTEBOL DE TERESINA¿¿, A SER REALIZADO NOS DIAS 01 DE ABRIL A 15 DE JUNHO DE 2024, NO MUNICÍPIO DE TERESINA-PI."
27 de ABRIL de 2024,300000.0,"PATROCÍNIO AO PROJETO DOCUMENTÁRIO ESPAÇO DA LUZ: MATERNIDADE EVANGELINA ROSA, NO MUNICÍPIO DE TERESINA(PI)",2024-04-25,"PATROCÍNIO PARA REALIZAÇÃO DO PROJETO DOCUMENTÁRIO ESPAÇO DA LUZ: MATERNIDADE EVANGELINA ROSA, A SER EXIBIDO NO DIA 27 DE ABRIL DE 2024, NO MUNICÍPIO DE TERESINA(PI)."
12 de FEVEREIRO de 2024,300000.0,"PATROCÍNIO AO PROJETO I CARNABRASA, NO MUNICÍPIO DE BRASILEIRA(PI)",2024-02-09,"PATROCÍNIO AO PROJETO I CARNABRASA, A SER REALIZADO NO DIA 12 DE FEVEREIRO DE 2024, NA PRAÇA ZACARIAS FERREIRA, NO BAIRRO ESTAÇÃO, NO MUNICÍPIO DE BRASILEIRA(PI)."
06 de JULHO de 2024,300000.0,"PATROCÍNIO AO PROJETO XXXV FESTA DO VAQUEIRO, NO MUNICÍPIO DE SÃO FRANCISCO DO PIAUÍ",2024-06-27,"PATROCÍNIO PARA REALIZAÇÃO DO EVENTO: XXXV FESTA DO VAQUEIRO, A SER REALIZADO NOS DIAS 03, 04, 05 e 06 DE JULHO DE 2024, NO MUNICÍPIO DE SÃO FRANCISCO DO PIAUÍ."
29 de Maio de 2024,300000.0,"Patrocínio da  ¿IX COPA PRÉ RURAL 2024 ¿, que SERIA REALIZADA NOS DIAS 19 DE JUNHO A 15 DE JULHO DE 2024",2024-06-14,"o evento: ¿IX COPA PRÉ RURAL 2024 ¿, que SERIA REALIZADA NOS DIAS 02 a 29 de Maio DE 2024, na Zona Rural no município deTeresina- PI, conforme consta nos autos. O referido evento PASSARÁ A SER REALIZADO NOS DIAS 19 DE JUNHO A 15 DE JULHO DE 2024, t"
15 de JULHO de 2024,300000.0,"Patrocínio da  ¿IX COPA PRÉ RURAL 2024 ¿, que SERIA REALIZADA NOS DIAS 19 DE JUNHO A 15 DE JULHO DE 2024",2024-06-14,"o evento: ¿IX COPA PRÉ RURAL 2024 ¿, que SERIA REALIZADA NOS DIAS 02 a 29 de Maio DE 2024, na Zona Rural no município deTeresina- PI, conforme consta nos autos. O referido evento PASSARÁ A SER REALIZADO NOS DIAS 19 DE JUNHO A 15 DE JULHO DE 2024, t"
21 de junho de 2024,300000.0,"Patrocínio para a realização do evento Campeonato de Futebol Society, a ser realizado nos dias 17 a 21 de junho de 2024, no município de Teresina-PI.",2024-06-18,"Patrocínio para a realização do evento Campeonato de Futebol Society, a ser realizado nos dias 17 a 21 de junho de 2024, no município de Teresina-PI."
19 de MARÇO de 2024,300000.0,"PATROCÍNIO REFERENTE AO PROJETO SEIS E MEIA - ZIZI POSSI, NO MUNICÍPIO DE TERESINA(PI).",2024-03-18,"PATROCÍNIO PARA REALIZAÇÃO DO EVENTO: PROJETO SEIS E MEIA - ZIZI POSSI, A SER REALIZADO NO DIA 19 DE MARÇO DE 2024, NO THEATRO 4 DE SETEMBRO, NO MUNICÍPIO DE TERESINA(PI)."
23 de janeiro de 2024,300000.0,"Projeto de Patrocínio - Noite Cultural  de Oeiras -PI, a ser realizado no dia 23 de janeiro de 2024,  NA  praça das violentas com apresentação do Cantor Toni Garrido.",2023-12-20,"Projeto de Patrocínio - Noite Cultural  de Oeiras -PI. a ser realizado no dia 23 de janeiro de 2024, na praça das violentas com apresentação do Cantor Toni Garrido."
09 de abril de 2024,300000.0,"Realização do evento Projeto Seis e Meia Eixo Norte,  realizado no período de 06 a 09 de abril de 2024, nos municípios de Teresina-PI, Oeiras, Piripiri e Parnaíba-PI.",2024-04-06,"Realização do evento Projeto Seis e Meia Eixo Norte, a ser realizado no período de 06 a 09 de abril de 2024, nos municípios de Teresina-PI, Oeiras, Piripiri e Parnaíba-PI"
21 de SETEMBRO de 2024,300000.0,TAÇA DAS FAVELAS PIAUÍ 2024,2024-07-08,"PATROCÍNIO DO PROJETO ""TAÇA DAS FAVELAS PIAUÍ 2024"", QUE ACONTECERÁ ENTRE OS DIAS 13 E 28 DE JULHO E 21 DE SETEMBRO DE 2024, NO MUNICÍPIO DE TERESINA - PI."
10 de março de 2024,300000.0,"Visando o patrocínio do evento ¿ANIVERSÁRIO DE LUZILÂNDIA¿, que ocorrerá dia 10 de março de 2024, em Luzilândia-PI.",2024-03-08,"Referente ao   patrocínio do evento ANIVERSÁRIO DE LUZILÂNDIA¿, que ocorrerá dia 10 de março de 2024, em Luzilândia-PI."
22 de Abril de 2024,310000.0,FÓRUM ESTADUAL DE EDUCAÇÃO INCLUSIVA E ACESSIBILIDADE,2024-04-22,"A concessão de patrocínio para a realização do evento Fórum Estadual de Educação Inclusiva e Acessibilidade, a ser realizado no dia 22 de Abril de 2024, no município de Teresina/PI."
01 de MAIO de 2024,330000.0,"FESTA DO TRABALHADOR, NO MUNICÍPIO DE LAGOA ALEGRE(PI)",2024-04-30,"CONTRATAÇÃO DE ATRAÇÕES MUSICAIS(BANDAS), PARA APRESENTAÇÃO NO EVENTO: TRADICIONAL FESTA DO TRABALHADOR, A SER REALIZADO NO DIA 01 DE MAIO DE 2024, NO MUNICÍPIO DE LAGOA ALEGRE(PI)."
03 de JULHO de 2024,330000.0,"XLVI ENCONTRO NACIONAL DE FOLGUEDOS, NO MUNICÍPIO DE TERESINA(PI).",2024-07-03,"CONTRATAÇÃO DE ATRAÇÕES MUSICAIS(BANDAS), PARA APRESENTAÇÃO ARTÍSTICA NO EVENTO: XLVI ENCONTRO NACIONAL DE FOLGUEDOS, A SER REALIZADO DIA 03 DE JULHO DE 2024, NO ARENA TERESINA SHOPPING, NO MUNICÍPIO DE TERESINA(PI)."
30 de MAIO de 2024,350000.0,"MARCHA PARA JESUS,¿ A SER REALIZADO NO DIA 30 DE MAIO DE 2024, EM TERESINA-PI.",2024-05-29,"MARCHA PARA JESUS,¿ A SER REALIZADO NO DIA 30 DE MAIO DE 2024, EM TERESINA-PI."
13 de MARÇO de 2024,350000.0,"REALIZAÇÃO DO PROJETO BATALHA DO JENIPAPO, NO MUNICÍPIO DE CAMPO MAIOR(PI)",2024-03-12,"PATROCÍNIO PARA REALIZAÇÃO DO PROJETO BATALHA DO JENIPAPO, A SER REALIZADO NO DIA 13 DE MARÇO DE 2024, NO MOMUMENTO HERÓIS DO JENIPAPO, NO MUNICÍPIO DE CAMPO MAIOR(PI)"
11 de JUNHO de 2024,389833.0,II FEIRA DA AGRICULTURA IRRIGADA. DATA: 11 DE JUNHO DE 2024. NO MUNICIPIO DE GUARIBAS-PI.,2024-06-04,II FEIRA DA AGRICULTURA IRRIGADA. DATA: 11 DE JUNHO DE 2024. NO MUNICIPIO DE GUARIBAS-PI.
06 de FEVEREIRO de 2024,390000.0,"PATROCÍNIO AO PROJETO SEIS E MEIA - EDIÇÃO ESPECIAL, COM NEGUINHO DA BEIJA FLOR, NO MUNICÍPIO DE TERESINA(PI)",2024-02-05,"PATROCÍNIO AO PROJETO SEIS E MEIA - EDIÇÃO ESPECIAL, COM NEGUINHO DA BEIJA FLOR, A SER REALIZADO DIA 06 DE FEVEREIRO DE 2024, NA GALERIA DE ARTE NONATO OLIVEIRA - CLUBE DOS DIÁRIOS, NO MUNICÍPIO DE TERESINA(PI)."
13 de fevereiro de 2024,400000.0,CARNAVAL DAMARECHA 2024,2024-02-09,"O Projeto CARNAVAL DAMARECHAL a ser realizado nas datas de 10 a 13 de fevereiro de 2024, em Teresina-PI."
10 de março de 2024,400000.0,Enduro Desafio do Jenipapo 37ª EDIÇÃO,2024-02-27,"o Projeto Enduro Desafio do Jenipapo 37ª EDIÇÃO, que tem como objetivo fomentar a prática do turismo de esportes e de lazer por meio da realização de uma competição esportiva voltada ao ciclismo e ao motociclismo dias 09 e 10 de março de 2024 entre as cidades de Teresina-PI e Campo Maior - PI."
09 de JUNHO de 2024,400000.0,IMPERADOR RACE 2024,2024-03-27,"PATROCÍNIO DO PROJETO ""IMPERADOR RACE 2024"", QUE TEM COMO OBJETIVO FOMENTAR A PRÁTICA DO TURISMO DE ESPORTES E DE LAZER POR MEIO DA REALIZAÇÃO DE ATIVIDADE ESPORTIVA VINCULADA AO CICLISMO. A COMPETIÇÃO OCORRERÁ NOS DIAS 08 E 09 DE JUNHO DE 2024, NO MUNICÍPIO DE PEDRO II - PI."
30 de JUNHO de 2024,400000.0,"PATROCÍNIO AO PROJETO XIX FESTIVAL CULTURAL DOS COCAIS, NO MUNICÍPIO DE SÃO JOÃO DO ARRAIAL(PI).",2024-06-27,"PATROCÍNIO PARA REALIZAÇÃO DO EVENTO: XIX FESTIVAL CULTURAL DOS COCAIS, A SER REALIZADO NO PERÍODO DE 28 A 30 DE JUNHO DE 2024, NO MUNICÍPIO DE SÃO JOÃO DO ARRAIAL(PI)."
13 de FEVEREIRO de 2024,400000.0,"PROPOSTA DE PATROCÍNIO REFERENTE AO EVENTO ""CARNAVAL DE CABECEIRAS-PI¿¿ A SER REALIZADO NOS DIAS 10 A 13 DE FEVEREIRO DE 2024, COM LOCAÇÃO E ESTRUTURA, PRODUÇÃO DE MÍDIAS DE DIVULGAÇÃO.",2024-02-10,"PROPOSTA DE PATROCÍNIO REFERENTE AO EVENTO ""CARNAVAL DE CABECEIRAS-PI¿¿ A SER REALIZADO NOS DIAS 10 A 13 DE FEVEREIRO DE 2024, COM LOCAÇÃO E ESTRUTURA, PRODUÇÃO DE MÍDIAS DE DIVULGAÇÃO."
13 de fevereiro de 2024,425000.0,"Visando o patrocínio para a realização do evento ""Carnaval de Luzilândia 2024"" que irá acontecer nos períodos de 10 a 13 de fevereiro de 2024, no município de Luzilandia - PI, evento a ser realizado pela empresa BRAZIL86 PRODUCAO E EVENTOS LTDA. Oriundos de Emenda Parlamentar da Deputada Janaina Marques.",2024-02-07,"Visando o patrocínio para a realização do evento ""Carnaval de Luzilândia 2024"" que irá acontecer nos períodos de 10 a 13 de fevereiro de 2024, no município de Luzilândia - PI, evento a ser realizado pela empresa BRAZIL86 PRODUCAO E EVENTOS LTDA. Oriundos de Emenda Parlamentar da Deputada Janaina Marques."
30 de março de 2024,500000.0,"BENDITA PRAIA, a ser realizado na data de 30 de março de 2024, na cidade de Luís Correia-PI",2024-03-30,"¿BENDITA PRAIA¿, a ser realizado na data de 30 de março de 2024, na cidade de Luís Correia-PI"
13 de FEVEREIRO de 2024,500000.0,"PATROCÍNIO REFERENTE AO PROJETO CARNAVAL DA SUÍÇA PII, NO MUNICÍPIO DE PEDRO II(PI)",2024-02-09,"PATROCÍNIO REFERENTE AO PROJETO CARNAVAL DA SUÍÇA PII, A SER REALIZADO NO PERÍODO DE 10 A 13 DE FEVEREIRO DE 2024, NO MUNICÍPIO DE PEDRO II(PI)."
5 de julho de 2024,525000.0,"Patrocínio para a realização do SaLiBom - Salão do Livro de Bom Jesus - Ano: Escritor Juvenal Carvalho Santos, nos dias  3, 4 e 5 de julho de 2024, em Bom Jesus-PI.",2024-05-28,"Patrocínio para a realização do SaLiBom - Salão do Livro de Bom Jesus - Ano: Escritor Juvenal Carvalho Santos, nos dias  3, 4 e 5 de julho de 2024, em Bom Jesus-PI."
07 de JULHO de 2024,600000.0,PICOS PRO RACE 2024,2024-07-05,"PATROCÍNIO DO PROJETO PICOS PRO RACE 2024, QUE ACONTECERÁ NOS DIAS 05, 06 E 07 DE JULHO DE 2024, NO MUNICÍPIO DE PICOS/PI."
10 de MAIO de 2024,650000.0,"PATROCÍNIO AO PROJETO 9º SALIPA - SALÃO DO LIVRO DE PARNAÍBA - ANO ALCENOR CANDEIRA FILHO, NO MUNICÍPIO DE PARNAÍBA(PI)",2024-05-28,"CONCESSÃO DE PATROCÍNIO PARA REALIZAÇÃO DO EVENTO 9º SALIPA - SALÃO DO LIVRO DE PARNAÍBA - ANO ALCENOR CANDEIRA FILHO, A SER REALIZADO NO PERÍODO DE 08 A 10 DE MAIO DE 2024, NO CAMPUS DA  UNIVERSIDADE FEDERAL DO DELTA DO PARNAÍBA(UFDPar), NO MUNICÍPIO DE PARNAÍBA(PI)."
16 de JUNHO de 2024,750000.0,PROJETO CULTURAL CIDADE JUNINA 2024,2024-06-14,"PATROCÍNIO DO PROJETO CULTURAL CIDADE JUNINA 2024, QUE ACONTECERÁ ENTRE OS DIAS 12 A 16 DE JUNHO DE 2024, NO MUNICÍPIO DE TERESINA/PI."
25 de MAIO de 2024,810000.0,"BOM JESUS AGROSHOW 2024 NOS DIAS  23, 24 E 25 DE MAIO de 2024, NO MUNICÍPIO DE BOM JESUS-PI",2024-05-24,"REF A EVENTO BOM JESUS AGROSHOW 2024 NOS DIAS  23, 24 E 25 DE MAIO de 2024, NO MUNICÍPIO DE BOM JESUS-PI"
20 de JULHO de 2024,840000.0,XLI SEMANA CULTURAL DA JUVENTUDE IPIRANGUENSE,2024-07-04,"""XLI SEMANA CULTURAL DA JUVENTUDE IPIRANGUENSE"", QUE ACONTECERÁ ENTRE OS DIAS 11 E 20 DE JULHO DE 2024, NO MUNICÍPIO DE IPIRANGA - PI."
16 de junho de 2024,900000.0,"Realização do 22º SaLiPi - Salão do Livro do Piauí  e 27º Seminário Língua Viva. O evento que acontece no Espaço Rosa dos Ventos ( Universidade Federal do Piauí) UFPI - Campus Ministro Petrônio Portella, no período de 7 a 16 de junho de 2024.",2024-07-06,"Realização do 22º SaLiPi - Salão do Livro do Piauí  e 27º Seminário Língua Viva. O evento que acontece no Espaço Rosa dos Ventos - Universidade Federal do Piauí - UFPI - Campus Ministro Petrônio Portella, no período de 7 a 16 de junho de 2024."
24 de JUNHO de 2024,1000000.0,FESTEJOS JUNINOS DE SÃO JOÃO DO PIAUÍ 2024,2024-06-13,"PATROCÍNIO DO EVENTO ""FESTEJOS JUNINOS DE SÃO JOÃO DO PIAUÍ"", QUE SERÁ REALIZADO NO PERÍODO DE 15 A 24 DE JUNHO DE 2024, NO MUNICÍPIO DE SÃO JOÃO DO PIAUÍ, COM O OBJETIVO DE POTENCIALIZAR AS FESTIVIDADES E O TURISMO REGIONAL. Nº136/2024"
02 de fevereiro de 2024,1050000.0,PROJETO ZÉ PEREIRA DE PICOS,2024-01-29,"PROJETO ZÉ PEREIRA DE PICOS¿, a ser realizado no dia 02 de fevereiro de 2024, no município de Picos - PI"
09 de junho de 2024,1100000.0,Concessão de patrocínio para a realização do evento: 4ª Expopiracuruca,2024-06-05,"Concessão de patrocínio para a realização do evento: 4ª Expopiracuruca, a ser realizado nas datas de 07 a 09 de junho de 2024, na cidade de Piracuruca-PI."
21 de julho de 2024,1100000.0,Patrocínio para a realização do evento: 47ª Expo Corrente,2024-05-22,Concessão de patrocínio para a realização do evento: 47ª Expo Corrente que acontecerá nos dias 14 a 21 de julho de 2024 no município de Corrente - PI.
30 de DEZEMBRO de 2023,1150000.0,PROJETO EXPOSIÇÃO NASCE O PORTO,2023-12-13,"PROJETO EXPOSIÇÃO NASCE O PORTO"", QUE ACONTECERÁ ENTRE OS DIAS 13 E 30 DE DEZEMBRO DE 2023, NO PORTO DE LUIS CORREIA - PI."
13 de FEVEREIRO de 2024,1200000.0,"CARNAVAL DE LUIS CORREIA 2024, A SER REALIZADO ENTRE OS DIAS 10 E 13 DE FEVEREIRO DE 2024, NO MUNICÍPIO DE LUIS CORREIA - PI",2024-02-09,"CARNAVAL DE LUIS CORREIA 2024, A SER REALIZADO ENTRE OS DIAS 10 E 13 DE FEVEREIRO DE 2024, NO MUNICÍPIO DE LUIS CORREIA - PI"
4 de fevereiro de 2024,1250000.0,"projeto ZÉ PEREIRA DE JOSÉ DE FREITAS 2024, a ser realizado nas datas de 26, 27, 28 de janeiro e 4 de fevereiro de 2024, em José de Freitas-PI",2024-02-02,"projeto ZÉ PEREIRA DE JOSÉ DE FREITAS 2024, a ser realizado nas datas de 26, 27, 28 de janeiro e 4 de fevereiro de 2024, em José de Freitas-PI"
10 de DEZEMBRO de 2023,1557315.0,REFERENTE AO PATROCÍNIO PARA OS 72 ANOS DE EXPOAPI NOS DIAS 03 A 10 DE DEZEMBRO DE 2023 NO MUNICÍPIO DE TERESINA.,2023-11-27,REFERENTE AO PATROCÍNIO PARA OS 72 ANOS DE EXPOAPI NOS DIAS 03 A 10 DE DEZEMBRO DE 2023 NO MUNICÍPIO DE TERESINA.
28 de JULHO de 2024,2000000.0,"PATROCÍNIO ""PIAUÍ, SEU DESTINO DE VERÃO""",2024-07-19,"PATROCÍNIO ""PIAUÍ, SEU DESTINO DE VERÃO"", QUE ACONTECERÁ ENTRE OS DIAS 20 A 28 DE JULHO DE 2024, NO LITORAL DO ESTADO DO PIAUÍ, CONFORME CONTRATO 181/2024 ."
02 de JUNHO de 2024,2836300.0,"PATROCÍNIO AO PROJETO FESTIVAL DE INVERNO DE PEDRO II, NO MUNICÍPIO DE PEDRO II(PI)",2024-05-29,"PATROCÍNIO PARA REALIZAÇÃO DO FESTIVAL DE INVERNO DE PEDRO II, A SER REALIZADO NO PERÍODO DE 30 e 31 DE MAIO e 01 E 02 DE JUNHO DE 2024, NO MUNICÍPIO DE PEDRO II(PI)."
07 de JULHO de 2024,3070000.0,"XLVI ENCONTRO NACIONAL DE FOLGUEDOS - DE OEIRAS A BELÉM TRADIÇÃO QUE SÓ A GENTE TEM, NO MUNICÍPIO DE TERESINA(PI).",2024-07-02,"PATROCÍNIO PARA REALIZAÇÃO DO EVENTO: XLVI ENCONTRO NACIONAL DE FOLGUEDOS, NO ARENA DO TERESINA SHOPPING, NO PERÍODO DE 02 A 07 DE JULHO DE 2024, NO MUNICÍPIO DE TERESINA(PI)."
